DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	REGION	COUNTRY_CODE	CURRENT_POSITION
2022-01-15	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	DK	5
2021-12-16	GHOST TOWN	Pop	Google Doc Charts	CONTINENTAL EUROPE	DK	63
2022-01-06	GHOST TOWN	Pop	Google Doc Charts	CONTINENTAL EUROPE	DK	29
2021-04-08	GHOST TOWN	Pop	Spotify	OTHER	DJ	149
2021-03-25	GHOST TOWN	Pop	Spotify	OTHER	DJ	149
2021-01-07	GHOST TOWN	Pop	Spotify	OTHER	KH	146
2021-11-11	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	KR	132
2022-02-20	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	KR	143
2021-12-28	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	KR	125
2021-11-25	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	LT	130
2021-04-22	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	LU	200
2021-01-07	GHOST TOWN	Pop	Spotify	OTHER	MW	169
2021-03-18	GHOST TOWN	Pop	Spotify	OTHER	SB	163
2022-02-14	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	SE	19
2021-11-15	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	SE	75
2022-01-05	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	SE	18
2022-01-03	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	SE	17
2022-02-02	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	SE	21
2022-01-10	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	SE	20
2021-04-22	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	SE	57
2021-11-18	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	SG	73
2021-03-25	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	SG	150
2021-04-08	GHOST TOWN	Pop	Spotify	OTHER	SR	125
2021-03-04	GHOST TOWN	Pop	Spotify	OTHER	SR	125
2021-03-25	GHOST TOWN	Pop	Spotify	OTHER	SR	125
2021-12-18	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	SE	21
2021-10-30	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	SE	68
2021-11-17	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	SG	74
2022-02-11	GHOST TOWN	Pop	Shazam	CANADA	CA	97
2021-11-30	GHOST TOWN	Pop	Shazam	CANADA	CA	157
2021-11-28	GHOST TOWN	Pop	Shazam	CANADA	CA	197
2021-10-24	GHOST TOWN	Pop	Shazam	CANADA	CA	113
2021-11-04	GHOST TOWN	Pop	GfK	CONTINENTAL EUROPE	CH	76
2022-02-26	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	CH	50
2022-02-14	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	CH	81
2022-01-20	GHOST TOWN	Pop	Spotify	OTHER	BN	186
2022-02-17	GHOST TOWN	Pop	Spotify	OTHER	BT	190
2021-12-09	GHOST TOWN	Pop	Spotify	OTHER	BT	79
2022-02-01	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	BE	9
2022-01-29	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	BE	9
2021-12-10	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	BE	19
2021-11-15	GHOST TOWN	Pop	Shazam	UNITED KINGDOM	GB	183
2021-12-05	GHOST TOWN	Pop	Shazam	UNITED KINGDOM	GB	54
2021-11-25	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	ID	14
2021-04-15	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	IE	200
2021-11-21	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	IE	49
2021-11-10	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	IE	138
2022-01-11	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	IE	110
2021-11-25	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	IE	87
2021-03-18	GHOST TOWN	Pop	Spotify	OTHER	IS	184
2022-02-10	GHOST TOWN	Pop	Spotify	OTHER	IS	184
2021-11-25	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	JP	28
2022-02-03	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	FI	160
2021-02-25	GHOST TOWN	Pop	Spotify	OTHER	FJ	88
2021-12-09	GHOST TOWN	Pop	Spotify	OTHER	FM	139
2021-11-13	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	FR	142
2022-01-15	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	FR	43
2021-12-20	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	FR	114
2022-02-24	GHOST TOWN	Pop	Google Doc Charts	CONTINENTAL EUROPE	FR	15
2021-11-25	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	AE	129
2021-11-01	GHOST TOWN	Pop	Shazam	USA	US	186
2022-02-20	GHOST TOWN	Pop	Shazam	USA	US	82
2021-10-25	GHOST TOWN	Pop	Shazam	USA	US	126
2021-02-25	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	NL	60
2022-02-10	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NL	12
2022-02-17	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	NL	44
2021-12-27	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NL	62
2021-12-02	GHOST TOWN	Pop	Google Doc Charts	CONTINENTAL EUROPE	NL	64
2022-01-12	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NL	8
2021-12-31	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NL	21
2021-11-12	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	10
2022-01-17	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	12
2022-02-02	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	15
2021-12-12	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	12
2021-11-18	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	NZ	46
