DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	COUNTRY_KEY	DAYS_ON_CHART	COUNTRY_CODE
2022-02-11	GHOST TOWN	Pop	Apple Music	543		SE
2022-02-11	GHOST TOWN	Pop	Apple Music	534		MY
2021-12-09	GHOST TOWN	Pop	Apple Music	574		CV
2022-02-19	GHOST TOWN	Pop	Apple Music	680		MV
2021-11-14	GHOST TOWN	Pop	Apple Music	662		RS
2022-01-05	GHOST TOWN	Pop	Apple Music	527		UG
2022-01-05	GHOST TOWN	Pop	Apple Music	566		LV
2021-12-17	GHOST TOWN	Pop	Apple Music	581		GR
2022-02-10	GHOST TOWN	Pop	Apple Music	620		LA
2022-01-23	GHOST TOWN	Pop	Apple Music	557		MU
2022-01-23	GHOST TOWN	Pop	Apple Music	587		IE
2022-02-14	GHOST TOWN	Pop	Apple Music	555		BH
2021-11-26	GHOST TOWN	Pop	Apple Music	530		DK
2022-02-06	GHOST TOWN	Pop	Apple Music	659		SC
2021-11-10	GHOST TOWN	Pop	Apple Music	523		SI
2021-11-10	GHOST TOWN	Pop	Apple Music	543		SE
2022-01-06	GHOST TOWN	Pop	Apple Music	583		EE
2021-12-01	GHOST TOWN	Pop	Apple Music	711		HR
2022-01-26	GHOST TOWN	Pop	Apple Music	610		CA
2021-11-02	GHOST TOWN	Pop	Apple Music	617		JO
2022-01-14	GHOST TOWN	Pop	Apple Music	530		DK
2022-02-17	GHOST TOWN	Pop	Apple Music	535		LB
2022-02-03	GHOST TOWN	Pop	Apple Music	553		SZ
2022-02-08	GHOST TOWN	Pop	Apple Music	524		TT
2022-02-15	GHOST TOWN	Pop	Apple Music	680		MV
2022-01-09	GHOST TOWN	Pop	Apple Music	585		FR
2022-01-25	GHOST TOWN	Pop	Apple Music	579		PT
2022-01-18	GHOST TOWN	Pop	Apple Music	703		JM
2022-03-01	GHOST TOWN	Pop	Apple Music	610		CA
2021-11-08	GHOST TOWN	Pop	Apple Music	541		BW
2021-11-08	GHOST TOWN	Pop	Apple Music	530		DK
2022-01-17	GHOST TOWN	Pop	Apple Music	587		IE
2022-01-10	GHOST TOWN	Pop	Apple Music	536		EG
2021-11-15	GHOST TOWN	Pop	Apple Music	586		NG
2021-11-16	GHOST TOWN	Pop	Apple Music	527		UG
2021-11-16	GHOST TOWN	Pop	Apple Music	696		LR
2022-01-12	GHOST TOWN	Pop	Apple Music	529		BM
2022-01-15	GHOST TOWN	Pop	Apple Music	517		AI
2022-01-08	GHOST TOWN	Pop	Apple Music	513		KY
2022-01-08	GHOST TOWN	Pop	Apple Music	535		LB
2022-01-08	GHOST TOWN	Pop	Apple Music	538		ZA
2021-12-08	GHOST TOWN	Pop	Apple Music	583		EE
