PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	COUNTRY_CODE	TOTAL_STREAMS
No Idea	Rap/Hip Hop	Spotify	AD	742
Serem ocells	Pop	Spotify	AD	741
Con la luna llena	Pop	Spotify	AD	741
Marea (We’ve Lost Dancing)	Electronic	Spotify	AD	739
La vereda de la puerta de atrás	Rock	Spotify	AD	738
Diamants	Pop	Spotify	AD	737
Djadja (feat. Maluma)	R&B	Spotify	AD	735
Let Me Down Slowly	Pop	Spotify	AD	734
Con uñas y dientes	Pop	Spotify	AD	729
Drive (feat. Wes Nelson)	Electronic	Spotify	AD	727
Young, Wild & Free (feat. Bruno Mars)	Rap/Hip Hop	Spotify	AD	722
Sé lo que hicisteis	Pop	Spotify	AD	721
A quién le importa	Latin	Spotify	AD	718
Nothing's Gonna Stop Us Now	Pop	Spotify	AD	714
De Ellos Aprendí	Pop	Spotify	AD	713
Can't Stop	Alternative	Spotify	AD	711
You Can't Hurry Love	Pop	Spotify	AD	710
Respect	R&B	Spotify	AD	709
Whole Lotta Love	Rock	Spotify	AD	707
Tus Celos	Hip Hop	Spotify	AD	707
True	Pop	Spotify	AD	704
Kikiki (feat. Yay)	Electronic	Spotify	AD	702
(Sittin' On) the Dock of the Bay	R&B	Spotify	AD	701
Cien gaviotas	Pop	Spotify	AD	700
Stars	Pop	Spotify	AD	700
Amiga mía	Pop	Spotify	AD	700
El universo sobre mí	Pop	Spotify	AD	700
GHOST TOWN	Pop	Spotify	AD	699
Tick Tock (feat. 24kGoldn)	Electronic	Spotify	AD	699
Wish You Were Here	Pop	Spotify	AD	698
Never Gonna Give You Up	Pop	Spotify	AD	697
Barbie de extrarradio	Pop	Spotify	AD	694
Mirando al cielo	Pop	Spotify	AD	693
Iris	Pop	Spotify	AD	693
Happiest Year	Alternative	Spotify	AD	693
Mal de Amores	Latin Pop	Spotify	AD	692
Otherside	Alternative	Spotify	AD	692
We Don't Talk Anymore (feat. Selena Gomez)	Pop	Spotify	AD	691
Castle on the Hill	Pop	Spotify	AD	691
Young Right Now	Dance	Spotify	AD	690
Up Where We Belong	Pop	Spotify	AD	687
Rockabye (feat. Sean Paul & Anne-Marie)	Dance	Spotify	AD	685
Noches de bohemia	Miscellaneous	Spotify	AD	683
Loading	Rap/Hip Hop	Spotify	AD	682
Nevermind	Dance	Spotify	AD	682
MIA (feat. Drake)	Latin	Spotify	AD	679
Kisiera yo saber	Pop	Spotify	AD	675
Stereo Hearts (feat. Adam Levine)	Pop	Spotify	AD	673
All We Got (feat. KIDDO)	Dance	Spotify	AD	670
Compta amb mi	World Music	Spotify	AD	670
Rather Be (feat. Jess Glynne)	Dance	Spotify	AD	670
Astronaut In The Ocean	Rap/Hip Hop	Spotify	AD	670
Caraluna	Pop	Spotify	AD	669
Con sólo una sonrisa	Pop	Spotify	AD	669
La Cartita	Latin	Spotify	AD	668
Madura (feat. Bad Bunny)	Latin	Spotify	AD	666
Si tú no estas	Pop	Spotify	AD	665
Call Me (with R3HAB & Timmy Trumpet)	Dance	Spotify	AD	664
Otra vez (feat. J Balvin)	Latin	Spotify	AD	664
It's You	R&B	Spotify	AD	663
We Are Young (feat. Janelle Monáe)	Alternative	Spotify	AD	663
Grenade	Pop	Spotify	AD	662
Believe	Pop	Spotify	AD	662
Over My Shoulder	Pop	Spotify	AD	661
Another Brick In The Wall, Pt. 2	Pop	Spotify	AD	660
Sugar (feat. Francesco Yates)	Dance	Spotify	AD	659
Way down We Go	Alternative	Spotify	AD	659
No puedo vivir sin ti (feat. Anni B Sweet)	Rock	Spotify	AD	658
The A Team	Pop	Spotify	AD	657
Chica Paranormal	Latin	Spotify	AD	655
Shars 2019	Rap/Hip Hop	Spotify	AD	649
I Wish (feat. Mabel)	Dance	Spotify	AD	649
IDGAF	Pop	Spotify	AD	646
Hear Me Now (feat. Zeeba)	Pop	Spotify	AD	645
So payaso	Pop	Spotify	AD	642
Against All Odds (Take a Look at Me Now)	Pop	Spotify	AD	642
One More Time	Dance	Spotify	AD	641
Tant de bo	Pop	Spotify	AD	641
Mejor así	Pop	Spotify	AD	638
1973	Pop	Spotify	AD	638
Sin documentos	Pop	Spotify	AD	637
Som Ocells	Pop	Spotify	AD	636
Olvídate	Latin	Spotify	AD	635
Let's Love	Dance	Spotify	AD	635
Boys Don't Cry	Pop	Spotify	AD	634
Pa que lo gocen (feat. Dollar Selmouni & Blasfem)	Rap/Hip Hop	Spotify	AD	632
Ni tú ni nadie	Pop	Spotify	AD	631
No vull baixar	Pop	Spotify	AD	628
Cuando zarpa el amor	Pop	Spotify	AD	626
Dispárame	Pop	Spotify	AD	625
Ojitos Negros	Pop	Spotify	AD	625
Moon Talk	Latin	Spotify	AD	622
Jeans	Latin	Spotify	AD	621
Missing Piece	Alternative	Spotify	AD	621
Love Someone	Pop	Spotify	AD	620
Si te vas...	Rock	Spotify	AD	620
Bonito	Pop	Spotify	AD	620
When Love Takes Over (feat. Kelly Rowland)	Electronica	Spotify	AD	619
La Góndola	Rap/Hip Hop	Spotify	AD	616
Tocado y hundido	Pop	Spotify	AD	615
Te Marqué Pedo	Latin	Spotify	AD	614
Como vas?	Latin	Spotify	AD	614
Pa toda la vida (feat. Mozart La Para)	Latin	Spotify	AD	611
Historia De Un Bandolero	Hip Hop	Spotify	AD	611
High Hopes	Alternative	Spotify	AD	610
Clavado En Un Bar	Pop	Spotify	AD	608
Bad Day	Pop	Spotify	AD	607
Baby Can I Hold You	Folk	Spotify	AD	607
See You Again (feat. Charlie Puth)	Rap/Hip Hop	Spotify	AD	605
Play Hard (feat. Ne-Yo & Akon)	Pop	Spotify	AD	604
Chiquilla	Pop	Spotify	AD	603
El Encuentro	Pop	Spotify	AD	601
Ride	Alternative	Spotify	AD	601
Vuelve	Pop	Spotify	AD	600
Te echo de menos	Pop	Spotify	AD	600
Post Malone (feat. RANI)	Dance	Spotify	AD	597
Listen To Your Heart	Pop	Spotify	AD	597
Bye bye	Pop	Spotify	AD	596
Feel It Still	Alternative	Spotify	AD	595
Lágrimas desordenadas	Pop	Spotify	AD	595
Sin miedo a nada (feat. Amaia Montero)	Pop	Spotify	AD	595
Visiting Hours	Pop	Spotify	AD	594
Mala Mía	Latin	Spotify	AD	593
Cuando Éramos Dos	Pop	Spotify	AD	592
Lucky	Pop	Spotify	AD	592
I Follow Rivers	Indie Rock	Spotify	AD	591
... y vuelo	Pop	Spotify	AD	591
Estoy enfermo (con Melendi)	Rock	Spotify	AD	588
Lifestyle (feat. Adam Levine)	Pop	Spotify	AD	586
Djadja	R&B	Spotify	AD	586
Confiésale	Latin Pop	Spotify	AD	583
Our Song	Rap/Hip Hop	Spotify	AD	583
Don't Leave Me This Way (with Sarah Jane Morris)	Pop	Spotify	AD	583
Always on My Mind	Pop	Spotify	AD	582
She Drives Me Crazy	Pop	Spotify	AD	581
If You Don't Know Me by Now	Pop	Spotify	AD	581
Dueles	Latin Pop	Spotify	AD	581
Mari Carmen	Pop	Spotify	AD	580
Are You Gonna Be My Girl	Rock	Spotify	AD	580
La Isla Bonita	Pop	Spotify	AD	580
Marvin Gaye (feat. Meghan Trainor)	Pop	Spotify	AD	575
Shars / 2014	Rap/Hip Hop	Spotify	AD	574
Fast Car	Folk	Spotify	AD	573
Mariposa Traicionera	Pop	Spotify	AD	572
Grita	Latin	Spotify	AD	572
The Lazy Song	Pop	Spotify	AD	571
Mi Destino	Soundtrack	Spotify	AD	571
Cómo hablar	Pop	Spotify	AD	570
Ordinary World	Pop	Spotify	AD	569
Head Shoulders Knees & Toes (feat. Norma Jean Martine)	Electronic	Spotify	AD	568
El lado oscuro	Latin	Spotify	AD	564
VAMONOS	Latin	Spotify	AD	563
Frozen	Pop	Spotify	AD	563
La Lola	Pop	Spotify	AD	561
No importa que llueva	Pop	Spotify	AD	561
Él no soy yo	Pop	Spotify	AD	561
DJ No Pare (feat. Zion, Dalex, Lenny Tavárez)	Latin	Spotify	AD	561
In the Air Tonight	Pop	Spotify	AD	561
Loco	Urban Local	Spotify	AD	560
Whistle	Rap/Hip Hop	Spotify	AD	559
La Mili	Rap/Hip Hop	Spotify	AD	559
Capos	Hip Hop	Spotify	AD	558
Narcolepsia (feat. Chichobeats)	Rap/Hip Hop	Spotify	AD	556
Yo no te pido la luna	Pop	Spotify	AD	556
Fresas con nata (feat. DJ Keru)	Hip Hop	Spotify	AD	555
Hablando en plata	Pop	Spotify	AD	554
The Look	Pop	Spotify	AD	552
Déjala Que Vuelva (feat. Manuel Turizo)	Latin Pop	Spotify	AD	551
Acabo de llegar	Pop	Spotify	AD	550
Rayando El Sol (feat. Pablo Alborán)	Latin	Spotify	AD	549
En El Muelle De San Blas	Pop	Spotify	AD	545
My House	Rap/Hip Hop	Spotify	AD	544
Don't Give Up On Me	Soundtrack	Spotify	AD	544
Te estás olvidando de mí	Pop	Spotify	AD	543
Floating Through Space	Pop	Spotify	AD	543
On My Mind	Dance	Spotify	AD	542
Everywhere	Pop	Spotify	AD	542
Reality (feat. Janieck Devy)	Dance	Spotify	AD	542
Te Vi	Latin Pop	Spotify	AD	541
Breathless	Pop	Spotify	AD	539
Scar Tissue	Alternative	Spotify	AD	539
redruM	Pop	Spotify	AD	539
Me cuesta tanto olvidarte	Pop	Spotify	AD	538
Valkirias	Rap/Hip Hop	Spotify	AD	538
Hola, mi amor (feat. Lérica, Junco)	World Music	Spotify	AD	537
Dos Problemas (feat. Big Soto)	Latin Pop	Spotify	AD	534
Retail Therapy	Rap/Hip Hop	Spotify	AD	533
Good Feeling	Rap/Hip Hop	Spotify	AD	532
Killing Me Softly With His Song	Pop	Spotify	AD	532
Zinedine	Hip Hop	Spotify	AD	531
Blood // Water	Alternative	Spotify	AD	530
Mi accidente preferido (con Juancho Sidecars y Sidecars)	Pop	Spotify	AD	529
Tabú	Latin Pop	Spotify	AD	528
Sailing	Pop	Spotify	AD	528
Te regalo	Pop	Spotify	AD	527
Wake Up	Pop	Spotify	AD	527
Cada vez cadáver	Rock	Spotify	AD	526
Tú no me conoces	Latin Pop	Spotify	AD	521
La primavera trompetera	Pop	Spotify	AD	520
You Really Got Me	Rock	Spotify	AD	520
Vull estar amb tu	Pop	Spotify	AD	517
Voy a Morir	Pop	Spotify	AD	517
Amanecer	Latin Pop	Spotify	AD	517
Move on Up	Jazz	Spotify	AD	517
For What It's Worth	Rock	Spotify	AD	515
In Your Eyes (feat. Alida)	Dance	Spotify	AD	514
If You Leave Me Now	Rock	Spotify	AD	514
Depende	Latin	Spotify	AD	513
Te Amo	Latin Pop	Spotify	AD	512
Calabria (feat. Fallen Roses, Lujavo & Lunis)	Dance	Spotify	AD	512
FRIENDS	Pop	Spotify	AD	511
Mi lugar	Pop	Spotify	AD	510
Think	R&B	Spotify	AD	509
Dani Ribba: Bzrp Music Sessions, Vol. 24	Latin	Spotify	AD	508
I'll Stand by You	Pop	Spotify	AD	508
Eres un temazo	Pop	Spotify	AD	506
Sta guai	Pop	Spotify	AD	505
Turnedo	Pop	Spotify	AD	505
Galway Girl	Pop	Spotify	AD	504
I Like It	Rap/Hip Hop	Spotify	AD	503
Whoopty	Hip Hop	Spotify	AD	503
Frío	Pop	Spotify	AD	502
Salir	Pop	Spotify	AD	502
I'm Gonna Be (500 Miles)	Pop	Spotify	AD	500
Volver a ser Romeo (feat. Galvan Real)	Pop	Spotify	AD	498
How You Remind Me	Pop	Spotify	AD	497
Comptine d'un autre été, l'après-midi	Pop	Spotify	AD	496
Quiero	Pop	Spotify	AD	495
Let Me Out	Pop	Spotify	AD	495
Búscate un hombre que te quiera	Pop	Spotify	AD	494
Te entiendo	Rock	Spotify	AD	494
Aroma	Reggaeton	Spotify	AD	494
Dónde está el amor (feat. Jesse & Joy)	Pop	Spotify	AD	494
Like a Prayer	Pop	Spotify	AD	493
Big in Japan	Pop	Spotify	AD	493
No Saben Como Vivo	Latin	Spotify	AD	493
Material Girl	Pop	Spotify	AD	493
Replay	Pop	Spotify	AD	493
La player (Bandolera)	Latin	Spotify	AD	492
Jefe	Rap/Hip Hop	Spotify	AD	490
Músic de carrer	World Music	Spotify	AD	489
i hate u, i love u  (feat. olivia o'brien)	Alternative	Spotify	AD	487
High (Remix)	Latin	Spotify	AD	487
La luna me sabe a poco	Rock	Spotify	AD	485
Y yo latiendo	Pop	Spotify	AD	485
My Baby Just Cares for Me	Jazz	Spotify	AD	484
Be the One	Pop	Spotify	AD	484
Lloverá y yo veré	Pop	Spotify	AD	484
Mi gran noche	Pop	Spotify	AD	483
Suicidal	Hip Hop	Spotify	AD	483
10,000 Hours (with Justin Bieber)	Country	Spotify	AD	480
Kiss My (Uh Oh)	Rap/Hip Hop	Spotify	AD	480
EveryTime I Cry	Pop	Spotify	AD	480
Club Can't Handle Me (feat. David Guetta)	Soundtrack	Spotify	AD	479
Love Again (feat. Alida)	Dance	Spotify	AD	479
Siete Vidas	Soundtrack	Spotify	AD	478
Rewrite The Stars (with James Arthur & Anne-Marie)	Pop	Spotify	AD	478
That's What I Like	Pop	Spotify	AD	478
Remember That Night?	Singer/Songwriter	Spotify	AD	476
Astronaut In The Ocean	Dance	Spotify	AD	476
A Horse with No Name	Rock	Spotify	AD	475
Heathens	Alternative	Spotify	AD	474
Te he echado de menos	Pop	Spotify	AD	474
The Box	Rap/Hip Hop	Spotify	AD	473
Thrift Shop (feat. Wanz)	Hip Hop	Spotify	AD	473
Black and Yellow	Rap/Hip Hop	Spotify	AD	472
Por quererte	Pop	Spotify	AD	472
Conexión	Pop	Spotify	AD	471
Don't Get Me Wrong	Pop	Spotify	AD	470
Rise Up (feat. Vamero)	Dance	Spotify	AD	469
Runaway (U & I)	Dance	Spotify	AD	468
MÍRENME AHORA	Latin	Spotify	AD	467
Sin ti no soy nada	Latin	Spotify	AD	465
Kiss from a Rose	Pop	Spotify	AD	464
Party (feat. A Boogie Wit da Hoodie)	Latin Pop	Spotify	AD	464
Se acabaron las lágrimas	Pop	Spotify	AD	464
Labios Compartidos	Pop	Spotify	AD	462
MONEY TILL I DIE	Latin	Spotify	AD	461
Smalltown Boy	Pop	Spotify	AD	460
I'm a Believer	Pop	Spotify	AD	459
Can't Get You out of My Head	Pop	Spotify	AD	458
Homerun (Intro)	Latin	Spotify	AD	457
Beg For You (feat. Rina Sawayama)	Pop	Spotify	AD	456
Lonely Boy	Alternative Rock	Spotify	AD	455
Solo (feat. Demi Lovato)	Dance	Spotify	AD	454
Duele	Pop	Spotify	AD	454
Pump It Up	Dance	Spotify	AD	453
Barcelona Tropical	Pop	Spotify	AD	453
We Are Family	Dance	Spotify	AD	453
En la Oscuridad	Latin	Spotify	AD	452
En algún lugar	Pop	Spotify	AD	450
Dulce introducción al caos	Rock	Spotify	AD	450
Mortales	Rap/Hip Hop	Spotify	AD	450
Hijo de la luna	Pop	Spotify	AD	448
Fantastic Shine	Rock	Spotify	AD	448
EL TREN	Latin	Spotify	AD	448
Deep End	Dance	Spotify	AD	448
Lobo-hombre en París	Pop	Spotify	AD	447
South of the Border (feat. Camila Cabello & Cardi B)	Pop	Spotify	AD	445
Starman	Pop	Spotify	AD	445
No Money	Dance	Spotify	AD	445
La quiero a morir	World Music	Spotify	AD	445
Cloudy Day	Alternative	Spotify	AD	444
Say My Name	Dance	Spotify	AD	444
Alcancía	Latin Pop	Spotify	AD	443
Su cabeza en mi pecho	Pop	Spotify	AD	443
Hung Up	Pop	Spotify	AD	442
Just the Two of Us (feat. Bill Withers)	Jazz	Spotify	AD	441
Wild Ones (feat. Sia)	Rap/Hip Hop	Spotify	AD	441
